java -cp .:./jfugue-5.0.1.jar Test
Track 1: size = 180

@0 Other message: class javax.sound.midi.MetaMessage
@0 Channel: 0 Note on, C4 key=60 velocity: 64
@256 Channel: 0 Note off, C4 key=60 velocity: 64
@256 Channel: 0 Note on, D#4 key=63 velocity: 64
@512 Channel: 0 Note off, D#4 key=63 velocity: 64
@512 Channel: 0 Note on, G4 key=67 velocity: 64
@768 Channel: 0 Note off, G4 key=67 velocity: 64
@768 Channel: 0 Note on, G#4 key=68 velocity: 64
@1024 Channel: 0 Note off, G#4 key=68 velocity: 64
@1024 Channel: 0 Note on, B3 key=59 velocity: 64
@1280 Channel: 0 Note off, B3 key=59 velocity: 64
@1408 Channel: 0 Note on, G4 key=67 velocity: 64
@1664 Channel: 0 Note off, G4 key=67 velocity: 64
@1664 Channel: 0 Note on, F#4 key=66 velocity: 64
@1920 Channel: 0 Note off, F#4 key=66 velocity: 64
@1920 Channel: 0 Note on, F4 key=65 velocity: 64
@2176 Channel: 0 Note off, F4 key=65 velocity: 64
@2176 Channel: 0 Note on, E4 key=64 velocity: 64
@2432 Channel: 0 Note off, E4 key=64 velocity: 64
@2432 Channel: 0 Note on, D#4 key=63 velocity: 64
@2688 Channel: 0 Note off, D#4 key=63 velocity: 64
@2688 Channel: 0 Note on, D4 key=62 velocity: 64
@2816 Channel: 0 Note off, D4 key=62 velocity: 64
@2816 Channel: 0 Note on, C#4 key=61 velocity: 64
@2944 Channel: 0 Note off, C#4 key=61 velocity: 64
@2944 Channel: 0 Note on, C4 key=60 velocity: 64
@3072 Channel: 0 Note off, C4 key=60 velocity: 64
@3072 Channel: 0 Note on, B3 key=59 velocity: 64
@3200 Channel: 0 Note off, B3 key=59 velocity: 64
@3200 Channel: 0 Note on, G3 key=55 velocity: 64
@3328 Channel: 0 Note off, G3 key=55 velocity: 64
@3328 Channel: 0 Note on, C4 key=60 velocity: 64
@3456 Channel: 0 Note off, C4 key=60 velocity: 64
@3456 Channel: 0 Note on, F4 key=65 velocity: 64
@3584 Channel: 0 Note off, F4 key=65 velocity: 64
@3584 Channel: 0 Note on, D#4 key=63 velocity: 64
@3840 Channel: 0 Note off, D#4 key=63 velocity: 64
@3840 Channel: 0 Note on, D4 key=62 velocity: 64
@4096 Channel: 0 Note off, D4 key=62 velocity: 64
@4096 Channel: 0 Note on, C4 key=60 velocity: 64
@4352 Channel: 0 Note off, C4 key=60 velocity: 64
@4352 Channel: 0 Note on, D#4 key=63 velocity: 64
@4608 Channel: 0 Note off, D#4 key=63 velocity: 64
@4608 Channel: 0 Note on, G4 key=67 velocity: 64
@4672 Channel: 0 Note off, G4 key=67 velocity: 64
@4672 Channel: 0 Note on, F4 key=65 velocity: 64
@4736 Channel: 0 Note off, F4 key=65 velocity: 64
@4736 Channel: 0 Note on, G4 key=67 velocity: 64
@4800 Channel: 0 Note off, G4 key=67 velocity: 64
@4800 Channel: 0 Note on, C5 key=72 velocity: 64
@4864 Channel: 0 Note off, C5 key=72 velocity: 64
@4864 Channel: 0 Note on, G4 key=67 velocity: 64
@4928 Channel: 0 Note off, G4 key=67 velocity: 64
@4928 Channel: 0 Note on, D#4 key=63 velocity: 64
@4992 Channel: 0 Note off, D#4 key=63 velocity: 64
@4992 Channel: 0 Note on, D4 key=62 velocity: 64
@5056 Channel: 0 Note off, D4 key=62 velocity: 64
@5056 Channel: 0 Note on, D#4 key=63 velocity: 64
@5120 Channel: 0 Note off, D#4 key=63 velocity: 64
@5120 Channel: 0 Note on, F4 key=65 velocity: 64
@5184 Channel: 0 Note off, F4 key=65 velocity: 64
@5184 Channel: 0 Note on, G4 key=67 velocity: 64
@5248 Channel: 0 Note off, G4 key=67 velocity: 64
@5248 Channel: 0 Note on, A4 key=69 velocity: 64
@5312 Channel: 0 Note off, A4 key=69 velocity: 64
@5312 Channel: 0 Note on, B4 key=71 velocity: 64
@5376 Channel: 0 Note off, B4 key=71 velocity: 64
@5376 Channel: 0 Note on, C5 key=72 velocity: 64
@5440 Channel: 0 Note off, C5 key=72 velocity: 64
@5440 Channel: 0 Note on, D#4 key=63 velocity: 64
@5504 Channel: 0 Note off, D#4 key=63 velocity: 64
@5504 Channel: 0 Note on, F4 key=65 velocity: 64
@5568 Channel: 0 Note off, F4 key=65 velocity: 64
@5568 Channel: 0 Note on, G4 key=67 velocity: 64
@5632 Channel: 0 Note off, G4 key=67 velocity: 64
@5632 Channel: 0 Note on, G#4 key=68 velocity: 64
@5696 Channel: 0 Note off, G#4 key=68 velocity: 64
@5696 Channel: 0 Note on, D4 key=62 velocity: 64
@5760 Channel: 0 Note off, D4 key=62 velocity: 64
@5760 Channel: 0 Note on, D#4 key=63 velocity: 64
@5824 Channel: 0 Note off, D#4 key=63 velocity: 64
@5824 Channel: 0 Note on, F4 key=65 velocity: 64
@5888 Channel: 0 Note off, F4 key=65 velocity: 64
@5888 Channel: 0 Note on, G4 key=67 velocity: 64
@5952 Channel: 0 Note off, G4 key=67 velocity: 64
@5952 Channel: 0 Note on, F4 key=65 velocity: 64
@6016 Channel: 0 Note off, F4 key=65 velocity: 64
@6016 Channel: 0 Note on, D#4 key=63 velocity: 64
@6080 Channel: 0 Note off, D#4 key=63 velocity: 64
@6080 Channel: 0 Note on, D4 key=62 velocity: 64
@6144 Channel: 0 Note off, D4 key=62 velocity: 64
@6144 Channel: 0 Note on, D#4 key=63 velocity: 64
@6208 Channel: 0 Note off, D#4 key=63 velocity: 64
@6208 Channel: 0 Note on, F4 key=65 velocity: 64
@6272 Channel: 0 Note off, F4 key=65 velocity: 64
@6272 Channel: 0 Note on, G4 key=67 velocity: 64
@6336 Channel: 0 Note off, G4 key=67 velocity: 64
@6336 Channel: 0 Note on, G#4 key=68 velocity: 64
@6400 Channel: 0 Note off, G#4 key=68 velocity: 64
@6400 Channel: 0 Note on, A#4 key=70 velocity: 64
@6464 Channel: 0 Note off, A#4 key=70 velocity: 64
@6464 Channel: 0 Note on, G#4 key=68 velocity: 64
@6528 Channel: 0 Note off, G#4 key=68 velocity: 64
@6528 Channel: 0 Note on, G4 key=67 velocity: 64
@6592 Channel: 0 Note off, G4 key=67 velocity: 64
@6592 Channel: 0 Note on, F4 key=65 velocity: 64
@6656 Channel: 0 Note off, F4 key=65 velocity: 64
@6656 Channel: 0 Note on, G4 key=67 velocity: 64
@6720 Channel: 0 Note off, G4 key=67 velocity: 64
@6720 Channel: 0 Note on, G#4 key=68 velocity: 64
@6784 Channel: 0 Note off, G#4 key=68 velocity: 64
@6784 Channel: 0 Note on, A#4 key=70 velocity: 64
@6848 Channel: 0 Note off, A#4 key=70 velocity: 64
@6848 Channel: 0 Note on, C5 key=72 velocity: 64
@6912 Channel: 0 Note off, C5 key=72 velocity: 64
@6912 Channel: 0 Note on, C#5 key=73 velocity: 64
@6976 Channel: 0 Note off, C#5 key=73 velocity: 64
@6976 Channel: 0 Note on, A#4 key=70 velocity: 64
@7040 Channel: 0 Note off, A#4 key=70 velocity: 64
@7040 Channel: 0 Note on, A4 key=69 velocity: 64
@7104 Channel: 0 Note off, A4 key=69 velocity: 64
@7104 Channel: 0 Note on, G4 key=67 velocity: 64
@7168 Channel: 0 Note off, G4 key=67 velocity: 64
@7168 Channel: 0 Note on, A4 key=69 velocity: 64
@7232 Channel: 0 Note off, A4 key=69 velocity: 64
@7232 Channel: 0 Note on, B4 key=71 velocity: 64
@7296 Channel: 0 Note off, B4 key=71 velocity: 64
@7296 Channel: 0 Note on, C5 key=72 velocity: 64
@7360 Channel: 0 Note off, C5 key=72 velocity: 64
@7360 Channel: 0 Note on, D5 key=74 velocity: 64
@7424 Channel: 0 Note off, D5 key=74 velocity: 64
@7424 Channel: 0 Note on, D#5 key=75 velocity: 64
@7488 Channel: 0 Note off, D#5 key=75 velocity: 64
@7488 Channel: 0 Note on, C5 key=72 velocity: 64
@7552 Channel: 0 Note off, C5 key=72 velocity: 64
@7552 Channel: 0 Note on, B4 key=71 velocity: 64
@7616 Channel: 0 Note off, B4 key=71 velocity: 64
@7616 Channel: 0 Note on, A4 key=69 velocity: 64
@7680 Channel: 0 Note off, A4 key=69 velocity: 64
@7680 Channel: 0 Note on, B4 key=71 velocity: 64
@7744 Channel: 0 Note off, B4 key=71 velocity: 64
@7744 Channel: 0 Note on, C5 key=72 velocity: 64
@7808 Channel: 0 Note off, C5 key=72 velocity: 64
@7808 Channel: 0 Note on, D5 key=74 velocity: 64
@7872 Channel: 0 Note off, D5 key=74 velocity: 64
@7872 Channel: 0 Note on, D#5 key=75 velocity: 64
@7936 Channel: 0 Note off, D#5 key=75 velocity: 64
@7936 Channel: 0 Note on, F5 key=77 velocity: 64
@8000 Channel: 0 Note off, F5 key=77 velocity: 64
@8000 Channel: 0 Note on, D5 key=74 velocity: 64
@8064 Channel: 0 Note off, D5 key=74 velocity: 64
@8064 Channel: 0 Note on, G4 key=67 velocity: 64
@8128 Channel: 0 Note off, G4 key=67 velocity: 64
@8128 Channel: 0 Note on, D5 key=74 velocity: 64
@8192 Channel: 0 Note off, D5 key=74 velocity: 64
@8192 Channel: 0 Note on, C5 key=72 velocity: 64
@8256 Channel: 0 Note off, C5 key=72 velocity: 64
@8256 Channel: 0 Note on, D5 key=74 velocity: 64
@8320 Channel: 0 Note off, D5 key=74 velocity: 64
@8320 Channel: 0 Note on, D#5 key=75 velocity: 64
@8384 Channel: 0 Note off, D#5 key=75 velocity: 64
@8384 Channel: 0 Note on, F5 key=77 velocity: 64
@8448 Channel: 0 Note off, F5 key=77 velocity: 64
@8448 Channel: 0 Note on, D#5 key=75 velocity: 64
@8512 Channel: 0 Note off, D#5 key=75 velocity: 64
@8512 Channel: 0 Note on, D5 key=74 velocity: 64
@8576 Channel: 0 Note off, D5 key=74 velocity: 64
@8576 Channel: 0 Note on, C5 key=72 velocity: 64
@8640 Channel: 0 Note off, C5 key=72 velocity: 64
@8640 Channel: 0 Note on, B4 key=71 velocity: 64
@8704 Channel: 0 Note off, B4 key=71 velocity: 64
@8704 Channel: 0 Note on, C5 key=72 velocity: 64
@8832 Channel: 0 Note off, C5 key=72 velocity: 64
@8832 Channel: 0 Note on, G4 key=67 velocity: 64
@8960 Channel: 0 Note off, G4 key=67 velocity: 64
@8960 Channel: 0 Note on, D#4 key=63 velocity: 64
@9088 Channel: 0 Note off, D#4 key=63 velocity: 64
